ALLOY_NUMBER,GEN ID,ALLOY_COMPOSITION,ML_PREDICTED_HV,FORCE REACTION (N),DIAGONAL LENGTH (mm),FEM_ESTIMATED_HV,DIFFERENCE
ALLOY 1,12457,Mo12.5Ti16.8Nb18.4Zr18.3Ta18.7Hf15.4,505.58,1449.2,0.73,514.063793,8.48379304
ALLOY 2,23586,Co18.1Fe20.2Ni18Cr19.8Mn23.9,322.46,1247,0.87,311.4313723,11.02862768
ALLOY 3,50205,Al11.6Fe17.5Ni23.9Cr17.1Mo10Ti19.9,732.52,1996.2,0.72,727.9029335,4.617066485
ALLOY 4,64391,Al21.4Co8.3Fe18.6Ni14Cr20.5Mo17.3,837.75,2222.7,0.7,857.4704862,19.72048618
ALLOY 5,103655,Co15.2Fe14.1Ni15.2Mo30.6V24.9,661.87,2027.1,0.76,663.4105907,1.540590697
